Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7413,0.679
ROCKET,0PN,0.9919,0.0
ROCKET,2PN,0.6629,0.6964
ROCKET,anomalous,0.6816,0.4483
ROCKET,deg,1.0,0.0
LSTMFCN,Overall,0.7517,0.6897
LSTMFCN,0PN,0.9837,0.0
LSTMFCN,2PN,0.6771,0.7081
LSTMFCN,anomalous,0.7079,0.4746
LSTMFCN,deg,0.975,0.0
ConvTran,Overall,0.7536,0.691
ConvTran,0PN,1.0,0.0
ConvTran,2PN,0.6718,0.7003
ConvTran,anomalous,0.7713,0.5556
ConvTran,deg,1.0,0.0
