Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7406,0.6788
ROCKET,1.1PN,0.6667,0.5
ROCKET,1PN,0.4199,0.0952
ROCKET,2.1PN,0.7,0.6667
ROCKET,2PN,0.6677,0.702
ROCKET,3PN,0.7708,0.6364
ROCKET,>3PN,0.55,0.2857
ROCKET,not_vital,0.9816,0.0
LSTMFCN,Overall,0.7461,0.6852
LSTMFCN,1.1PN,0.6667,0.5
LSTMFCN,1PN,0.6699,0.2609
LSTMFCN,2.1PN,0.6,0.6
LSTMFCN,2PN,0.6678,0.7069
LSTMFCN,3PN,0.7232,0.5833
LSTMFCN,>3PN,0.65,0.4
LSTMFCN,not_vital,0.9755,0.0
ConvTran,Overall,0.7607,0.6992
ConvTran,1.1PN,0.9167,0.8
ConvTran,1PN,0.5833,0.2105
ConvTran,2.1PN,0.8,0.75
ConvTran,2PN,0.6772,0.7129
ConvTran,3PN,0.7946,0.6667
ConvTran,>3PN,0.65,0.4
ConvTran,not_vital,0.9939,0.0
