Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7435,0.6813
ROCKET,0PN,0.9919,0.0
ROCKET,2PN,0.674,0.7049
ROCKET,anomalous,0.6244,0.3871
ROCKET,deg,1.0,0.0
LSTMFCN,Overall,0.7354,0.6735
LSTMFCN,0PN,0.9756,0.0
LSTMFCN,2PN,0.6616,0.6955
LSTMFCN,anomalous,0.6771,0.4375
LSTMFCN,deg,0.975,0.0
ConvTran,Overall,0.7616,0.7003
ConvTran,0PN,0.9919,0.0
ConvTran,2PN,0.6779,0.7157
ConvTran,anomalous,0.7342,0.5
ConvTran,deg,1.0,0.0
