Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7487,0.6866
ROCKET,1.1PN,0.6667,0.5
ROCKET,1PN,0.5449,0.1818
ROCKET,2.1PN,0.7,0.6667
ROCKET,2PN,0.6742,0.7056
ROCKET,3PN,0.7946,0.6667
ROCKET,>3PN,0.6,0.3333
ROCKET,not_vital,0.9939,0.0
LSTMFCN,Overall,0.7324,0.6705
LSTMFCN,1.1PN,0.9167,0.8
LSTMFCN,1PN,0.4808,0.1481
LSTMFCN,2.1PN,0.6,0.6
LSTMFCN,2PN,0.6668,0.6983
LSTMFCN,3PN,0.6607,0.5217
LSTMFCN,>3PN,0.65,0.4
LSTMFCN,not_vital,0.9693,0.0
ConvTran,Overall,0.7552,0.6938
ConvTran,1.1PN,0.6667,0.5
ConvTran,1PN,0.6955,0.2857
ConvTran,2.1PN,0.5333,0.5
ConvTran,2PN,0.6717,0.7087
ConvTran,3PN,0.8571,0.7273
ConvTran,>3PN,0.65,0.4
ConvTran,not_vital,0.9939,0.0
