Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7406,0.6788
ROCKET,0PN,0.9756,0.0
ROCKET,2PN,0.6677,0.702
ROCKET,anomalous,0.6507,0.4127
ROCKET,deg,1.0,0.0
LSTMFCN,Overall,0.7461,0.6852
LSTMFCN,0PN,0.9756,0.0
LSTMFCN,2PN,0.6678,0.7069
LSTMFCN,anomalous,0.6972,0.4545
LSTMFCN,deg,0.975,0.0
ConvTran,Overall,0.7607,0.6992
ConvTran,0PN,0.9919,0.0
ConvTran,2PN,0.6772,0.7129
ConvTran,anomalous,0.7466,0.5172
ConvTran,deg,1.0,0.0
