Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7413,0.679
ROCKET,1.1PN,0.6667,0.5
ROCKET,1PN,0.4455,0.1053
ROCKET,2.1PN,0.8,0.75
ROCKET,2PN,0.6629,0.6964
ROCKET,3PN,0.7708,0.6364
ROCKET,>3PN,0.65,0.4
ROCKET,not_vital,0.9939,0.0
LSTMFCN,Overall,0.7517,0.6897
LSTMFCN,1.1PN,0.9167,0.8
LSTMFCN,1PN,0.5962,0.2222
LSTMFCN,2.1PN,0.7,0.6667
LSTMFCN,2PN,0.6771,0.7081
LSTMFCN,3PN,0.6845,0.5455
LSTMFCN,>3PN,0.65,0.4
LSTMFCN,not_vital,0.9816,0.0
ConvTran,Overall,0.7536,0.691
ConvTran,1.1PN,0.9167,0.8
ConvTran,1PN,0.609,0.2353
ConvTran,2.1PN,0.8,0.75
ConvTran,2PN,0.6718,0.7003
ConvTran,3PN,0.8423,0.7368
ConvTran,>3PN,0.65,0.4
ConvTran,not_vital,1.0,0.0
