source,start,pair_idx,pipeline,mean_mag,median_mag,p95_mag,std_mag,nonzero_frac,smoothness
D2013.02.19_S0675_I141_1,13,0,raw_unmasked,0.40705835819244385,0.1999436616897583,1.676295280456543,0.6218436360359192,0.777596,69.45698547363281
D2013.02.19_S0675_I141_1,13,0,raw_masked,0.38663044571876526,0.11218057572841644,1.6770215034484863,0.6289017200469971,0.661484,73.10617065429688
D2013.02.19_S0675_I141_1,13,0,nl_means,0.3080398142337799,0.012778179720044136,1.6331098079681396,0.6740272045135498,0.554308,92.47782135009766
D2013.02.19_S0675_I141_1,13,0,bilateral,0.30451706051826477,0.027641767635941505,1.492281436920166,0.6279309988021851,0.577848,78.25716400146484
D2013.02.19_S0675_I141_1,13,0,nl_clahe,0.41754648089408875,0.17799806594848633,1.709273338317871,0.6283860802650452,0.66812,74.84622955322266
D2013.02.19_S0675_I141_1,13,1,raw_unmasked,0.2411632239818573,0.07284756004810333,1.3701441287994385,0.48378318548202515,0.772424,62.29389953613281
D2013.02.19_S0675_I141_1,13,1,raw_masked,0.23200984299182892,0.0462164506316185,1.3752111196517944,0.48758137226104736,0.654384,62.65069580078125
D2013.02.19_S0675_I141_1,13,1,nl_means,0.208820179104805,0.005501080770045519,1.34671151638031,0.5212962627410889,0.5448,75.14985656738281
D2013.02.19_S0675_I141_1,13,1,bilateral,0.21875426173210144,0.012127261608839035,1.2302166223526,0.5694287419319153,0.581952,67.8311538696289
D2013.02.19_S0675_I141_1,13,1,nl_clahe,0.25929388403892517,0.07682949304580688,1.3877923488616943,0.49794748425483704,0.667756,67.10123443603516
D2013.02.19_S0675_I141_1,13,2,raw_unmasked,0.30612677335739136,0.16489076614379883,1.1701180934906006,0.43587303161621094,0.776792,55.9394416809082
D2013.02.19_S0675_I141_1,13,2,raw_masked,0.28346627950668335,0.10200551152229309,1.1910912990570068,0.4426358640193939,0.65542,65.88505554199219
D2013.02.19_S0675_I141_1,13,2,nl_means,0.21954192221164703,0.010989741422235966,1.0722476243972778,0.4356030523777008,0.554132,70.28853607177734
D2013.02.19_S0675_I141_1,13,2,bilateral,0.22197194397449493,0.025429626926779747,1.0616350173950195,0.410226970911026,0.587368,61.21846008300781
D2013.02.19_S0675_I141_1,13,2,nl_clahe,0.3209493160247803,0.14467447996139526,1.2573511600494385,0.4606841504573822,0.667452,66.27519226074219
D2013.02.19_S0675_I141_1,13,3,raw_unmasked,0.1940256655216217,0.07210886478424072,0.9390243887901306,0.32553043961524963,0.771396,44.36137008666992
D2013.02.19_S0675_I141_1,13,3,raw_masked,0.18568655848503113,0.044816650450229645,0.9411734342575073,0.32876211404800415,0.650848,46.27055740356445
D2013.02.19_S0675_I141_1,13,3,nl_means,0.15180276334285736,0.0066687604412436485,0.8488342761993408,0.3279080390930176,0.545768,53.506004333496094
D2013.02.19_S0675_I141_1,13,3,bilateral,0.1578470766544342,0.01181927602738142,0.831644594669342,0.3294265568256378,0.571288,47.42448043823242
D2013.02.19_S0675_I141_1,13,3,nl_clahe,0.21272122859954834,0.0872616395354271,0.9689869284629822,0.33755382895469666,0.667604,50.21360778808594
D2013.02.19_S0675_I141_1,13,4,raw_unmasked,0.1869715452194214,0.08363141119480133,0.8443883061408997,0.29373541474342346,0.771936,41.40940856933594
D2013.02.19_S0675_I141_1,13,4,raw_masked,0.1753425896167755,0.052421070635318756,0.84423828125,0.2967729866504669,0.652488,41.92161560058594
D2013.02.19_S0675_I141_1,13,4,nl_means,0.14660052955150604,0.0069510070607066154,0.7976374626159668,0.31513288617134094,0.545432,51.2257194519043
D2013.02.19_S0675_I141_1,13,4,bilateral,0.15493178367614746,0.012230846099555492,0.8152881860733032,0.3196984827518463,0.571452,47.25801467895508
