id,n,mean,std,var
D2013.02.19_S0675_I141_1,300,0.09752651244362723,0.6888177651185043,0.47446991354285095
D2013.02.19_S0675_I141_2,300,0.16687440259562203,0.9282787801278294,0.8617014936356111
D2013.02.19_S0675_I141_3,300,0.16280633460596286,1.6613296236368753,2.7600161183734415
D2013.02.19_S0675_I141_4,300,0.2691972215871331,0.4988429987122232,0.2488443373642031
D2013.02.19_S0675_I141_5,300,0.07477625712061607,0.37601045247801207,0.14138386037271938
D2013.02.19_S0675_I141_6,300,0.09650262984817815,1.685160698353234,2.839766579274359
D2013.02.19_S0675_I141_7,300,0.17082572633011564,0.4315784352741987,0.1862599457937257
D2013.02.19_S0675_I141_8,300,0.33560849244549956,4.730007183423081,22.372967955233943
D2013.02.19_S0675_I141_9,300,0.07216240272139401,0.4236948806765995,0.1795173519115579
D2013.03.09_S0695_I141_1,300,-0.004315098701368403,4.2679921491353126,18.215756985080663
D2013.03.09_S0695_I141_10,300,-0.12723340101453193,2.882882566778528,8.311011893835555
D2013.03.09_S0695_I141_11,300,-0.03504803037711764,1.1584170622331282,1.3419300900728313
D2013.03.09_S0695_I141_2,300,-0.08560276633196195,6.706942482892056,44.98307746882225
D2013.03.09_S0695_I141_3,300,0.05816322198239128,1.463511583521113,2.1418661551004754
D2013.03.09_S0695_I141_4,300,0.0885429645313066,0.768523704274398,0.5906286840316423
D2013.03.09_S0695_I141_5,300,-0.009970589556190316,0.5469721602635527,0.2991785441033775
D2013.03.09_S0695_I141_6,300,-0.04977946613590376,1.230593791945392,1.514361080774539
D2013.03.09_S0695_I141_7,300,0.10203196577789911,0.9114090248298098,0.8306664105412248
D2013.03.09_S0695_I141_8,300,0.3147605796279699,2.9487789461751586,8.695297273405878
D2013.03.09_S0695_I141_9,300,-0.08908035955585274,2.452051446018047,6.012556293919196
D2013.04.26_S0732_I141_1,300,0.015093837989004918,0.4048789633549654,0.16392697496739145
D2013.04.26_S0732_I141_2,300,0.1338700820470569,2.441337222543039,5.960127434174161
D2013.04.26_S0732_I141_3,300,0.18109264568544467,3.0954289990023116,9.581680687864454
D2013.04.26_S0732_I141_4,300,0.2098606850072211,0.6424500599425403,0.41274207952017367
