id,n,mean,std,var
D2013.02.19_S0675_I141_1,300,-1.1842378929335004e-17,0.6888177651185045,0.4744699135428511
D2013.02.19_S0675_I141_2,300,-5.921189464667502e-18,0.9282787801278294,0.8617014936356111
D2013.02.19_S0675_I141_3,300,0.0,1.6613296236368753,2.7600161183734415
D2013.02.19_S0675_I141_4,300,2.0724163126336256e-17,0.4988429987122232,0.2488443373642031
D2013.02.19_S0675_I141_5,300,-8.881784197001253e-18,0.37601045247801207,0.14138386037271938
D2013.02.19_S0675_I141_6,300,2.960594732333751e-17,1.6851606983532337,2.8397665792743583
D2013.02.19_S0675_I141_7,300,-5.921189464667502e-18,0.4315784352741987,0.18625994579372573
D2013.02.19_S0675_I141_8,300,-2.3684757858670008e-17,4.730007183423081,22.372967955233943
D2013.02.19_S0675_I141_9,300,0.0,0.4236948806765995,0.1795173519115579
D2013.03.09_S0695_I141_1,300,0.0,4.267992149135312,18.21575698508066
D2013.03.09_S0695_I141_10,300,-1.1842378929335004e-17,2.882882566778528,8.311011893835555
D2013.03.09_S0695_I141_11,300,-1.1842378929335004e-17,1.1584170622331282,1.3419300900728313
D2013.03.09_S0695_I141_2,300,0.0,6.706942482892055,44.983077468822245
D2013.03.09_S0695_I141_3,300,1.1842378929335004e-17,1.4635115835211128,2.141866155100475
D2013.03.09_S0695_I141_4,300,2.6645352591003756e-17,0.768523704274398,0.5906286840316424
D2013.03.09_S0695_I141_5,300,-5.921189464667502e-18,0.5469721602635527,0.2991785441033775
D2013.03.09_S0695_I141_6,300,5.921189464667502e-18,1.2305937919453922,1.5143610807745391
D2013.03.09_S0695_I141_7,300,-2.3684757858670008e-17,0.91140902482981,0.8306664105412251
D2013.03.09_S0695_I141_8,300,0.0,2.948778946175158,8.695297273405876
D2013.03.09_S0695_I141_9,300,1.1842378929335004e-17,2.4520514460180474,6.0125562939191965
D2013.04.26_S0732_I141_1,300,1.1842378929335004e-17,0.4048789633549654,0.16392697496739145
D2013.04.26_S0732_I141_2,300,1.1842378929335004e-17,2.441337222543039,5.96012743417416
D2013.04.26_S0732_I141_3,300,3.552713678800501e-17,3.095428999002312,9.581680687864456
D2013.04.26_S0732_I141_4,300,-2.3684757858670008e-17,0.6424500599425403,0.4127420795201736
D2013.04.26_S0732_I141_5,300,3.7007434154171884e-18,0.29863590475029395,0.08918340360602665
D2013.04.26_S0732_I141_6,300,-5.921189464667502e-18,0.39399386308516604,0.15523116414877258
D2013.04.26_S0732_I141_7,300,-1.1842378929335004e-17,0.35877615954768965,0.12872033265978927
D2013.05.03_S0739_I141_1,300,5.181040781584064e-18,0.3579774313672712,0.12814784136830937
D2013.05.03_S0739_I141_2,300,-1.4802973661668755e-18,0.34519186214996384,0.11915742169455963
D2013.05.03_S0739_I141_3,300,-1.3322676295501878e-17,0.5892005191733447,0.3471572517941389
D2013.05.03_S0739_I141_4,300,1.4062824978585317e-17,0.3178344816041199,0.10101875769655964
D2013.05.03_S0739_I141_5,300,-6.661338147750939e-18,0.24926245778737507,0.062131772862202936
D2013.05.03_S0739_I141_6,300,1.4802973661668755e-18,0.2654719055305855,0.07047533262604011
D2013.05.03_S0739_I141_7,300,-8.881784197001253e-18,0.2838799907615363,0.08058784915476992
D2013.05.04_S0741_I141_1,300,2.3684757858670008e-17,4.427030045479602,19.598595023579126
D2013.05.04_S0741_I141_2,300,0.0,3.246158724608724,10.537546465353339
D2013.05.04_S0741_I141_3,300,-2.960594732333751e-17,1.0801001367324379,1.1666163053694312
D2013.05.04_S0741_I141_4,300,-2.960594732333751e-17,0.5380268566810539,0.28947289851009533
D2013.05.13_S0749_I141_1,300,5.921189464667502e-18,1.12394047224751,1.2632421851559559
D2013.05.13_S0749_I141_10,300,0.0,0.6343137771859225,0.40235396792787215
D2013.05.13_S0749_I141_11,300,-8.881784197001253e-18,0.6987034707262149,0.4881865400048586
D2013.05.13_S0749_I141_12,300,4.7369515717340015e-17,6.063467359690479,36.76563642203183
D2013.05.13_S0749_I141_2,300,-2.3684757858670008e-17,1.0609353230401923,1.1255837596743974
D2013.05.13_S0749_I141_3,300,-1.7763568394002505e-17,1.5526795949644507,2.410813924618971
D2013.05.13_S0749_I141_4,300,4.144832625267251e-17,1.2961497619700735,1.6800042054550783
D2013.05.13_S0749_I141_5,300,1.4802973661668755e-18,0.41066014368544285,0.16864175361174857
D2013.05.13_S0749_I141_6,300,1.1842378929335004e-17,1.0619175213674368,1.1276688221871605
D2013.05.13_S0749_I141_7,300,-2.3684757858670008e-17,1.9856754342962135,3.942906930367456
D2013.05.13_S0749_I141_8,300,-2.3684757858670008e-17,3.067827905316109,9.411568056636225
D2013.05.13_S0749_I141_9,300,2.0724163126336256e-17,1.5266654995026836,2.3307075473717784
D2013.06.22_S0792_I141_1,300,1.4802973661668754e-17,0.4223605201775006,0.1783884090046089
D2013.06.22_S0792_I141_2,300,2.0724163126336256e-17,0.46423215166863013,0.215511490642886
D2013.06.22_S0792_I141_3,300,0.0,1.0011950357380415,1.002391499586498
D2013.06.22_S0792_I141_4,300,-4.7369515717340015e-17,3.151844346363572,9.934122783704012
D2013.06.22_S0792_I141_5,300,-2.960594732333751e-18,0.7734758667571477,0.598264916455721
D2013.06.22_S0792_I141_6,300,-1.7763568394002505e-17,0.4506608933035134,0.2030952407531207
D2013.06.22_S0792_I141_7,300,2.3684757858670008e-17,1.48863800649358,2.21604311437718
D2013.06.22_S0792_I141_8,300,0.0,3.8661810900835607,14.947356221319708
D2013.06.22_S0795_I141_1,300,0.0,3.7642867782676177,14.1698549490404
D2013.06.22_S0795_I141_2,300,0.0,2.191333852349715,4.801944052453842
D2013.06.22_S0795_I141_3,300,-2.3684757858670008e-17,2.0200099037237225,4.080440011141923
D2013.06.22_S0795_I141_4,300,1.7763568394002505e-17,2.3967706033345606,5.744509325008714
D2013.06.22_S0795_I141_5,300,0.0,0.3528323943343169,0.1244906984916869
D2013.07.15_S0811_I141_1,300,1.1842378929335004e-17,1.095068357908659,1.1991747084927669
D2013.07.15_S0811_I141_10,300,2.960594732333751e-18,2.3083298537539045,5.328386713731523
D2013.07.15_S0811_I141_11,300,-4.440892098500626e-18,1.7607816613931941,3.1003520590985767
