time_step,p_value,p_corr,signif
time_0,0.04025676696504721,1.0,False
time_1,0.13587290023781792,1.0,False
time_2,0.2512107387922087,1.0,False
time_3,0.3384811204160373,1.0,False
time_4,0.41597050823818627,1.0,False
time_5,0.7191684127869786,1.0,False
time_6,0.9434487764881904,1.0,False
time_7,0.4890559700981256,1.0,False
time_8,0.6062141101105205,1.0,False
time_9,0.7823101337321587,1.0,False
time_10,0.8591560761181256,1.0,False
time_11,0.7891535955273261,1.0,False
time_12,0.8533393009829428,1.0,False
time_13,0.5734368593698982,1.0,False
time_14,0.2798694590626285,1.0,False
time_15,0.15520104319486147,1.0,False
time_16,0.19325350695394927,1.0,False
time_17,0.2903574972558439,1.0,False
time_18,0.29134628033934296,1.0,False
time_19,0.265111444921428,1.0,False
time_20,0.17466394705143384,1.0,False
time_21,0.14625229369150658,1.0,False
time_22,0.17678331459109964,1.0,False
time_23,0.2800835997770532,1.0,False
time_24,0.25443791537937466,1.0,False
time_25,0.4134214116361232,1.0,False
time_26,0.5359109813715823,1.0,False
time_27,0.6861780900596774,1.0,False
time_28,0.657979100180498,1.0,False
time_29,0.41009996843966334,1.0,False
time_30,0.2741699093132476,1.0,False
time_31,0.18008006487590755,1.0,False
time_32,0.2119329875562591,1.0,False
time_33,0.10601151221798295,1.0,False
time_34,0.12029017700217237,1.0,False
time_35,0.12185928571155175,1.0,False
time_36,0.10002031336914204,1.0,False
time_37,0.1454650995230247,1.0,False
time_38,0.09387694108348728,1.0,False
time_39,0.12033666345150541,1.0,False
time_40,0.20715030119594458,1.0,False
time_41,0.14081608277409574,1.0,False
time_42,0.2883919143046182,1.0,False
time_43,0.30721953313207684,1.0,False
time_44,0.3564118065176184,1.0,False
time_45,0.6194085890505698,1.0,False
time_46,0.6587913333352398,1.0,False
time_47,0.7698997418626092,1.0,False
time_48,0.587501856393881,1.0,False
time_49,0.6141270174420008,1.0,False
time_50,0.5155865498296421,1.0,False
time_51,0.4286473210621896,1.0,False
time_52,0.49053916808857667,1.0,False
time_53,0.3636192397466793,1.0,False
time_54,0.2616204214876887,1.0,False
time_55,0.24105222229598355,1.0,False
time_56,0.18525489021791652,1.0,False
time_57,0.08540785384999476,1.0,False
time_58,0.07715245998473383,1.0,False
time_59,0.10096672209860821,1.0,False
time_60,0.23221457584478877,1.0,False
time_61,0.41604929087648723,1.0,False
time_62,0.3101699466174207,1.0,False
time_63,0.4465714225711528,1.0,False
time_64,0.40807838946816677,1.0,False
time_65,0.6151736892308528,1.0,False
time_66,0.9164025199972089,1.0,False
time_67,0.694357912639908,1.0,False
time_68,0.4901573376984898,1.0,False
time_69,0.24819517175513728,1.0,False
time_70,0.4833904430533319,1.0,False
time_71,0.392139574763552,1.0,False
time_72,0.3502040724714025,1.0,False
time_73,0.2707167441116918,1.0,False
time_74,0.071522219214762,1.0,False
time_75,0.027787555894007228,1.0,False
time_76,0.003414598288516389,0.4370685809300978,False
time_77,0.0002969215379067842,0.038005956852068375,True
time_78,7.663777109402774e-06,0.000980963470003555,True
time_79,1.822555923697262e-06,0.00023328715823324955,True
time_80,2.5090183228915183e-07,3.2115434533011434e-05,True
time_81,1.3210712811973917e-07,1.6909712399326613e-05,True
time_82,7.701210093043447e-08,9.857548919095612e-06,True
time_83,7.987246157417427e-09,1.0223675081494306e-06,True
time_84,2.326334060919086e-09,2.97770759797643e-07,True
time_85,3.565134531828564e-10,4.5633722007405617e-08,True
time_86,2.9832923088124692e-12,3.8186141552799606e-10,True
time_87,8.323951073114578e-14,1.065465737358666e-11,True
time_88,2.791347317297448e-15,3.5729245661407336e-13,True
time_89,1.5898812792023057e-15,2.0350480373789513e-13,True
time_90,1.4738745658011963e-15,1.8865594442255313e-13,True
time_91,2.9997514028356974e-15,3.8396817956296927e-13,True
time_92,1.4670522709125054e-15,1.877826906768007e-13,True
time_93,3.157628326057308e-15,4.041764257353354e-13,True
time_94,4.7351461529291914e-14,6.060987075749365e-12,True
time_95,4.850406002242485e-12,6.208519682870381e-10,True
time_96,1.3255543952834395e-09,1.6967096259628026e-07,True
time_97,1.0120629761245048e-08,1.295440609439366e-06,True
time_98,9.62454573599924e-08,1.2319418542079028e-05,True
time_99,1.1159408251799656e-06,0.0001428404256230356,True
time_100,2.9035821477428242e-05,0.003716585149110815,True
time_101,0.0015074259504733632,0.19295052166059048,False
time_102,0.03548448757621458,1.0,False
time_103,0.29982359590593743,1.0,False
time_104,0.7892417783373081,1.0,False
time_105,0.11185971199718836,1.0,False
time_106,0.013165428749684122,1.0,False
time_107,0.0013212491878563308,0.16911989604561034,False
