id,n,mean,std,var,median,q25,q75,p05,p95,range,cv,mad,skew,kurt,ac1
D2018.07.11_S02062_I0141_D_3,657,0.2610209330099903,0.10221219402989333,0.010447332608404561,0.27260491251945496,0.19914965331554413,0.3238590359687805,0.0878108024597168,0.39458501935005186,0.9229673687368631,0.39158619521899135,0.06030018627643585,0.8716020934050526,6.152052249615105,0.05468719534335251
D2016.10.29_S1633_I141_1,567,0.23405111462823927,0.09031729956584056,0.008157214600865784,0.2329297661781311,0.1802309826016426,0.29454493522644043,0.07998591065406799,0.36405712962150566,0.9840148165822029,0.38588707304085357,0.057784587144851685,0.9597510854641426,8.327925713865179,0.15359773709348895
D2015.01.24_S1208_I141_2,655,0.22844461253879747,0.0923070383221486,0.008520589323806609,0.2303778976202011,0.176044762134552,0.27872973680496216,0.08193460702896119,0.35037648379802705,0.9942677668295801,0.40406747743491567,0.05128823220729828,1.4387942840699943,9.94900528559106,0.07920683935859242
D2020.03.11_S02490_I0141_D_1,637,0.24254232967561887,0.08716520700398012,0.007597773312046704,0.24913710355758667,0.18902850151062012,0.29486083984375,0.09594161808490753,0.3630252659320831,0.9513901546597481,0.3593814206392619,0.051260530948638916,0.9024237126786312,8.762967953396997,0.06103024477389847
D2015.03.21_S1247_I141_6,650,0.27413055442273615,0.09477321536025528,0.008981962349721326,0.2782078683376312,0.21429157257080078,0.33250127732753754,0.1251133695244789,0.3916466847062111,0.89334861561656,0.34572291862842003,0.05882929265499115,1.249176159474891,7.6412319661552,0.029684535893374265
D2014.10.09_S1133_I141_12,565,0.24849456858911873,0.09569819626257814,0.009158144767910924,0.2501915991306305,0.1862732321023941,0.3116907477378845,0.0954671859741211,0.3724259197711944,0.9746529776602983,0.3851118227892271,0.06247228384017944,1.291465257934735,9.479355096403243,-0.00935474931327283
D2018.11.17_S02129_I0141_D_9,451,0.35755190359812616,0.12324789926286962,0.015190044672710458,0.36099669337272644,0.2780010849237442,0.4431956857442856,0.13944507390260696,0.5416492223739624,0.766746673732996,0.3446993234341587,0.08291077613830566,0.1066106246465171,0.33671959252481054,0.15177406872166282
D2017.02.13_S1695_I141_9,659,0.23221962563326082,0.08439753404269867,0.007122943752488482,0.24058471620082855,0.18113626539707184,0.2905561327934265,0.07325801774859428,0.34464893341064456,0.8293590573593974,0.3634384209023995,0.05468370020389557,0.2402539609072027,3.7261712474956727,0.13923829249830935
D2018.02.24_S01968_I0141_D_1,668,0.3241492588586079,0.11366696881806533,0.012920179800287037,0.32954879105091095,0.24297307431697845,0.40904491394758224,0.1210846334695816,0.495339286327362,0.7652531787753105,0.35066243624405824,0.08152705430984497,-0.0859207039106213,-0.01166004998137149,0.12403791967845691
D2019.06.14_S02305_I0141_D_2,663,0.2700598342653201,0.10337622794526748,0.0106866445041919,0.2683086097240448,0.1980500891804695,0.3426135778427124,0.10320840775966644,0.4259762018918991,0.9438484022393823,0.3827900888204855,0.0719996839761734,0.5069606661343293,2.487717119595544,0.25323958567093036
D2019.06.28_S02316_I0141_D_7,650,0.2429213956757807,0.0909846024752742,0.008278197887583673,0.24715792387723923,0.18612469360232353,0.29714176803827286,0.09593687504529955,0.36688589006662364,0.9224515557289124,0.3745433876755278,0.05410148203372955,1.1306535253378573,7.64584053992998,0.13871229180795228
D2020.11.13_S02678_I0141_D_3,660,0.2838133739505076,0.12028639451165365,0.014468816704613183,0.2841878831386566,0.19058466330170631,0.37254755944013596,0.09453882649540901,0.4892415747046471,0.5702212266623974,0.4238221505820569,0.09175688028335571,0.12713815977479997,-0.6694603648715245,0.4375125920385349
D2015.03.28_S1251_I141_6,581,0.2565410768576351,0.09661823779070758,0.009335083873781715,0.26083528995513916,0.19655841588974,0.31734442710876465,0.09899841248989105,0.38483095169067383,0.9093488999642432,0.3766189764780823,0.05913218855857849,0.9853922745043058,6.673632290053357,0.16715353232337882
D2016.03.31_S1485_I141_5,655,0.28072065656421746,0.10681799481904046,0.011410084017160555,0.286754310131073,0.2090715765953064,0.34948207437992096,0.09931380227208138,0.44576787650585176,0.9477042593061924,0.38051348314157585,0.06943774223327637,0.37999610397363964,2.233004341604521,0.0649838719122696
D2018.09.17_S02085_I0141_D_6,644,0.27248012679788103,0.12121016503425137,0.014691904107630454,0.27230440080165863,0.1748967245221138,0.3665521815419197,0.07429842054843902,0.45445304661989216,0.8812048544641584,0.44484038692539973,0.09531140327453613,0.1684335860634403,0.13272527026577263,0.21701279844393404
D2014.12.24_S1192_I141_2,653,0.3001969346518459,0.10764278623420881,0.011586969428263573,0.3062756061553955,0.2292034924030304,0.37837183475494385,0.12135797888040542,0.4580543935298919,0.8196472427807748,0.358573902025508,0.07466471195220947,-0.01348653012572539,0.5821945736353729,0.20640327127463737
D2017.02.05_S1691_I141_2,879,0.19948853679590428,0.08901496759858564,0.007923664456577252,0.19922474026679993,0.13301443308591843,0.26405052840709686,0.06366286128759384,0.3364073723554611,0.9959187926724553,0.4462159531986362,0.06548073887825012,0.8263349424125868,6.410869021010884,0.12408098466157372
D2018.04.23_S02020_I0141_D_9,662,0.2984449284663283,0.10704217977608096,0.011458028251214837,0.3061519116163254,0.22528619691729546,0.3699837699532509,0.112306709215045,0.4570541143417358,0.787292093038559,0.35866643915230034,0.07253947854042053,0.21985706722272114,1.099212967479085,0.17191087512848194
D2014.07.16_S1066_I141_5,569,0.23552918377183443,0.10088050938211911,0.010176877173195821,0.23050108551979065,0.16753415763378143,0.2806527018547058,0.0871005654335022,0.4180440127849579,0.7279029600322247,0.4283142656319213,0.05530574917793274,0.8931232218354804,1.8069930935018483,0.29605608078486784
D2015.03.21_S1247_I141_1,650,0.22103753646978966,0.09144465684111695,0.008362125264789638,0.21903633326292038,0.16072998940944672,0.2750668227672577,0.0820059597492218,0.3558932930231094,0.8551156781613827,0.4137064604572951,0.0562947615981102,1.2198371285826553,6.228314433929675,0.1455019156713886
D2016.10.24_S1630_I141_11,736,0.24593706593061695,0.09378961705196917,0.008796492266755026,0.2554996460676193,0.1875120811164379,0.30936099588871,0.08004099316895008,0.3773464560508728,0.9986568852327764,0.3813561680793119,0.06162870675325394,0.3708632812004654,4.8131883954587344,0.16151170765224443
D2019.02.22_S02216_I0141_D_12,646,0.2521012697993106,0.09720923314499783,0.009449635008638544,0.2577146887779236,0.18851135671138763,0.3134229779243469,0.09326455183327198,0.3849547877907753,0.9032311798073351,0.38559596793139067,0.058831073343753815,0.749915329753645,5.675662848230806,0.1688336138795508
D2014.01.24_S0919_I141_5,552,0.2280621864306538,0.09195829470807342,0.008456327965616883,0.2315540611743927,0.16187870129942894,0.2859654724597931,0.08495466709136963,0.3688708409667015,0.7937209866940975,0.40321587785897556,0.06138813495635986,0.6103957910554781,2.6736398149807803,0.0992598894742805
D2018.12.17_S02165_I0141_D_10,621,0.2377994952891352,0.08960448412143336,0.008028963574668204,0.23822417855262756,0.18147343397140503,0.29457616806030273,0.09819701313972473,0.3630982041358948,0.898740847595036,0.37680687258181617,0.056750744581222534,0.9226653618916791,6.084684783855577,0.3408046346781486
D2019.11.23_S02412_I0141_D_4,574,0.1910785502634086,0.11016895190030704,0.012137197962812166,0.16783308237791061,0.115994893014431,0.24626662954688072,0.05609852261841297,0.411781619489193,0.7682620724663138,0.5765636789081517,0.06447525322437286,1.3597296598684692,2.8178507533943415,0.38632399786753213
D2018.06.08_S02041_I0141_D_2,666,0.2971004450878313,0.13446161707122145,0.018079926465407792,0.2741519957780838,0.1953894980251789,0.3841298818588257,0.11125215142965317,0.5489310473203659,0.6868889331817627,0.4525796554477419,0.09301849454641342,0.5152454698320055,-0.4312895597751205,0.09181356098536453
D2015.05.02_S1277_I141_11,557,0.28289269462823063,0.10606819940164335,0.011250462924306774,0.2830139100551605,0.2055925577878952,0.35685935616493225,0.11135053038597106,0.4404295325279235,0.8806965490803123,0.3749414580713549,0.07575224339962006,0.40290700374442745,1.8120907251929426,0.18797587237524524
D2015.08.01_S1338_I141_6,565,0.22645648598127002,0.0870680286177285,0.007580841607377589,0.23429028689861298,0.16482940316200256,0.2845522463321686,0.08162656277418137,0.35136443376541127,0.9097665012814105,0.3844801717223935,0.058881089091300964,0.7700175380218455,6.535542527553298,0.14006824207107427
D2016.07.15_S1566_I141_1,669,0.3154193376774255,0.10320760669628509,0.010651810079975071,0.3281743824481964,0.2510899603366852,0.38571447134017944,0.12620499432086946,0.4602152109146118,0.9607416484504938,0.32720760704226043,0.06699120998382568,-0.09811909129477397,2.1052522048282762,-0.019077743762830772
D2014.10.01_S1126_I141_8,765,0.26086616895433207,0.0912761232824942,0.00833133068148108,0.2691260278224945,0.201494961977005,0.3239109218120575,0.10063459128141404,0.3888016402721405,0.9998136677022558,0.3498963612198914,0.06141975522041321,0.3857514507593704,4.8653977408658,0.03627874197413861
