Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.7435,0.6813
ROCKET,1.1PN,0.6667,0.5
ROCKET,1PN,0.4071,0.0909
ROCKET,2.1PN,0.7,0.6667
ROCKET,2PN,0.674,0.7049
ROCKET,3PN,0.7083,0.5714
ROCKET,>3PN,0.6,0.3333
ROCKET,not_vital,0.9939,0.0
LSTMFCN,Overall,0.7354,0.6735
LSTMFCN,1.1PN,0.6667,0.5
LSTMFCN,1PN,0.6699,0.2609
LSTMFCN,2.1PN,0.7,0.6667
LSTMFCN,2PN,0.6616,0.6955
LSTMFCN,3PN,0.6607,0.5217
LSTMFCN,>3PN,0.65,0.4
LSTMFCN,not_vital,0.9755,0.0
ConvTran,Overall,0.7616,0.7003
ConvTran,1.1PN,0.9167,0.8
ConvTran,1PN,0.6827,0.2727
ConvTran,2.1PN,0.6333,0.5714
ConvTran,2PN,0.6779,0.7157
ConvTran,3PN,0.7946,0.6667
ConvTran,>3PN,0.65,0.4
ConvTran,not_vital,0.9939,0.0
