dish_well,day1_meets,day1_details,day1_true,day3_meets,day3_details,day3_true,day5_meets,day5_details,day5_true,selected_final
D2017.09.16_S1853_I141_1,False,Pk:False|Corr:False|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False
D2017.09.16_S1853_I141_2,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2017.09.27_S1861_I141_1,False,Pk:False|Corr:True|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2017.09.27_S1861_I141_10,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.09.27_S1861_I141_11,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2017.09.27_S1861_I141_2,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False
D2017.09.27_S1861_I141_3,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.09.27_S1861_I141_4,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2017.09.27_S1861_I141_5,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2017.09.27_S1861_I141_7,False,Pk:False|Corr:True|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False
D2017.10.28_S1879_I141_1,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.10.28_S1879_I141_2,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2017.10.28_S1879_I141_3,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.10.28_S1879_I141_4,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.10.28_S1879_I141_5,False,Pk:False|Corr:True|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2017.10.28_S1879_I141_6,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.10.28_S1879_I141_7,False,Pk:False|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:False|Conf:True,1,False
D2017.11.29_S01903_I0141_D_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2017.11.29_S01903_I0141_D_3,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2017.11.29_S01903_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False
D2017.11.29_S01903_I0141_D_6,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2017.11.29_S01903_I0141_D_7,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False
D2017.11.29_S01903_I0141_D_8,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2017.12.21_S01919_I0141_D_1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:True|Corr:False|Conf:False,1,False
D2017.12.21_S01919_I0141_D_3,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2017.12.21_S01919_I0141_D_4,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2017.12.21_S01919_I0141_D_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2017.12.21_S01919_I0141_D_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2018.04.07_S02000_I0141_D_1,False,Pk:True|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2018.04.07_S02000_I0141_D_2,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2018.04.07_S02000_I0141_D_3,False,Pk:True|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False,Pk:True|Corr:True|Conf:False,0,False
D2018.04.07_S02000_I0141_D_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.04.07_S02000_I0141_D_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2018.04.07_S02000_I0141_D_8,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.04.16_S02013_I0141_D_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False
D2018.04.16_S02013_I0141_D_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.04.16_S02013_I0141_D_3,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:True,0,False,Pk:False|Corr:False|Conf:True,0,False
D2018.04.16_S02013_I0141_D_4,False,Pk:False|Corr:True|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:True,1,False
D2018.04.16_S02013_I0141_D_5,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
D2018.04.16_S02013_I0141_D_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:False,0,False
D2018.04.16_S02013_I0141_D_7,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.04.24_S02021_I0141_D_5,False,Pk:True|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2018.04.24_S02021_I0141_D_6,False,Pk:False|Corr:False|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False
D2018.04.24_S02021_I0141_D_7,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False
D2018.06.08_S02039_I0141_D_1,False,Pk:False|Corr:False|Conf:True,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2018.06.08_S02039_I0141_D_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False
D2018.06.08_S02039_I0141_D_3,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.06.18_S02046_I0141_D_1,False,Pk:False|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False
D2018.06.18_S02046_I0141_D_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False
D2018.06.18_S02046_I0141_D_4,False,Pk:False|Corr:True|Conf:True,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:False,0,False
D2018.06.18_S02046_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:False|Conf:False,1,True,Pk:True|Corr:True|Conf:True,1,False
D2018.06.18_S02046_I0141_D_6,False,Pk:False|Corr:False|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:False|Conf:True,1,False
D2018.06.18_S02046_I0141_D_7,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:True,1,False,Pk:True|Corr:True|Conf:False,1,False
D2018.06.18_S02048_I0141_D_1,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False
D2018.06.18_S02048_I0141_D_2,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:False,0,False,Pk:False|Corr:True|Conf:True,0,False
D2018.06.18_S02048_I0141_D_5,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2018.06.18_S02048_I0141_D_6,False,Pk:False|Corr:False|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,True,Pk:True|Corr:True|Conf:True,0,False
D2018.07.03_S02058_I0141_D_1,False,Pk:False|Corr:False|Conf:True,1,True,Pk:True|Corr:True|Conf:True,1,False,Pk:False|Corr:True|Conf:False,1,False
D2018.07.03_S02058_I0141_D_2,False,Pk:False|Corr:True|Conf:False,1,False,Pk:True|Corr:False|Conf:False,1,False,Pk:False|Corr:True|Conf:False,1,False
D2018.07.03_S02058_I0141_D_3,False,Pk:True|Corr:True|Conf:False,0,False,Pk:False|Corr:False|Conf:False,0,False,Pk:True|Corr:True|Conf:False,0,False
D2018.07.03_S02058_I0141_D_4,False,Pk:True|Corr:False|Conf:False,0,False,Pk:True|Corr:False|Conf:True,0,True,Pk:True|Corr:True|Conf:True,0,False
